Date, Close/Last, Volume, Open, High, Low
01/27/2021, $3232.58, 4660158, $3341.49, $3346.52, $3207.08
01/26/2021, $3326.13, 2955235, $3296.356, $3338, $3282.87
01/25/2021, $3294, 3749758, $3328.5, $3363.89, $3243.1463
01/22/2021, $3292.23, 2821914, $3304.31, $3321.91, $3283.1644
01/21/2021, $3306.99, 4945051, $3293, $3348.55, $3289.5675
01/20/2021, $3263.38, 5309835, $3181.99, $3279.8, $3175
01/19/2021, $3120.76, 3305142, $3107, $3145, $3096
01/15/2021, $3104.25, 4243995, $3123.02, $3142.545, $3095.17
01/14/2021, $3127.47, 3070919, $3167.52, $3177.9999, $3120.59
01/13/2021, $3165.89, 3321244, $3128.44, $3189.95, $3122.08
01/12/2021, $3120.83, 3514582, $3120, $3142.1418, $3086
01/11/2021, $3114.21, 3669095, $3148.01, $3156.3841, $3110
01/08/2021, $3182.7, 3537744, $3180, $3190.64, $3142.2
01/07/2021, $3162.16, 3514545, $3157, $3208.542, $3155
01/06/2021, $3138.38, 4394815, $3146.48, $3197.509, $3131.16
01/05/2021, $3218.51, 2655548, $3166.01, $3223.38, $3165.06
01/04/2021, $3186.63, 4411449, $3270, $3272, $3144.02
12/31/2020, $3256.93, 2957206, $3275, $3282.9219, $3241.2
12/30/2020, $3285.85, 3209310, $3341, $3342.1, $3282.47
12/29/2020, $3322, 4872933, $3309.94, $3350.65, $3281.223
12/28/2020, $3283.96, 5686787, $3194, $3304, $3172.69
