Date, Close/Last, Volume, Open, High, Low
01/28/2021, 13337.16, --, 13323.29, 13507.64, 13316.52
01/27/2021, 13270.6, --, 13486.58, 13538.42, 13192.91
01/26/2021, 13626.06, --, 13681.72, 13702.69, 13603.19
01/25/2021, 13635.99, --, 13681.21, 13728.98, 13368.68
01/22/2021, 13543.06, --, 13474.81, 13567.14, 13463.66
01/21/2021, 13530.91, --, 13521.48, 13560.35, 13454.07
01/20/2021, 13457.25, --, 13342.55, 13486.13, 13329.77
01/19/2021, 13197.18, --, 13132.73, 13206.86, 13078.7
01/15/2021, 12998.5, --, 13099.9, 13139.83, 12949.76
01/14/2021, 13112.64, --, 13174.75, 13220.16, 13098.41
01/13/2021, 13128.95, --, 13088.01, 13171.15, 13051.06
01/12/2021, 13072.43, --, 13062.06, 13105.04, 12963.92
01/11/2021, 13036.43, --, 13048.78, 13138.27, 12999.51
01/08/2021, 13201.98, --, 13160.22, 13208.09, 13036.55
01/07/2021, 13067.48, --, 12867.34, 13090.91, 12867.34
01/06/2021, 12740.79, --, 12666.15, 12909.63, 12649.99
01/05/2021, 12818.96, --, 12665.65, 12828.27, 12665.65
01/04/2021, 12698.45, --, 12958.52, 12958.72, 12543.24
12/31/2020, 12888.28, --, 12877.09, 12902.07, 12821.23
12/30/2020, 12870, --, 12906.51, 12924.93, 12857.76
12/29/2020, 12850.22, --, 12965.39, 12973.33, 12821.96
12/28/2020, 12899.42, --, 12914.64, 12930.89, 12827.45
