Date, Close/Last, Volume, Open, High, Low
01/28/2021, $193.6, 58815810, $265, $483, $112.25
01/27/2021, $347.51, 93396670, $354.83, $380, $249
01/26/2021, $147.98, 178588000, $88.56, $150, $80.2
01/25/2021, $76.79, 177874000, $96.73, $159.18, $61.13
01/22/2021, $65.01, 197157900, $42.59, $76.7573, $42.32
01/21/2021, $43.03, 57079750, $39.23, $44.75, $37
01/20/2021, $39.12, 33471790, $37.37, $41.1899, $36.06
01/19/2021, $39.36, 74721920, $41.55, $45.52, $36.64
01/15/2021, $35.5, 46866360, $38.49, $40.75, $34.01
01/14/2021, $39.91, 93717410, $38.09, $43.06, $33.05
01/13/2021, $31.4, 144501700, $20.42, $38.65, $20.03
01/12/2021, $19.95, 7060665, $19.96, $20.4, $19.3168
01/11/2021, $19.94, 14927610, $19.41, $20.65, $19.01
01/08/2021, $17.69, 6481960, $18.18, $18.3, $17.08
01/07/2021, $18.08, 6129276, $18.47, $19.45, $18.02
01/06/2021, $18.36, 6056248, $17.34, $18.98, $17.33
01/05/2021, $17.37, 4961457, $17.35, $18.0765, $17.23
01/04/2021, $17.25, 10022470, $19, $19.1, $17.15
12/31/2020, $18.84, 6922652, $19.25, $19.8, $18.8
12/30/2020, $19.26, 5934391, $19.38, $20, $18.85
12/29/2020, $19.38, 9241441, $20.82, $21.07, $18.56
12/28/2020, $20.99, 8965858, $21.31, $21.97, $20.35
