Date, Close/Last, Volume, Open, High, Low
01/28/2021, $835.43, 26378050, $820, $848, $801
01/27/2021, $864.16, 27333960, $870.35, $891.5, $858.66
01/26/2021, $883.09, 23131600, $891.38, $895.9, $871.6
01/25/2021, $880.8, 41173400, $855, $900.4, $838.8201
01/22/2021, $846.64, 20066500, $834.31, $848, $828.62
01/21/2021, $844.99, 20598130, $855, $855.7199, $841.4201
01/20/2021, $850.45, 25665880, $858.74, $859.5, $837.28
01/19/2021, $844.55, 25366980, $837.8, $850, $833
01/15/2021, $826.16, 38777600, $852, $859.9, $819.1
01/14/2021, $845, 31266330, $843.39, $863, $838.75
01/13/2021, $854.41, 33312500, $852.76, $860.47, $832
01/12/2021, $849.44, 46270720, $831, $868, $827.34
01/11/2021, $811.19, 59554150, $849.4, $854.43, $803.6222
01/08/2021, $880.02, 75055530, $856, $884.49, $838.39
01/07/2021, $816.04, 51498950, $777.63, $816.99, $775.2
01/06/2021, $755.98, 44699970, $758.49, $774, $749.1
01/05/2021, $735.11, 32245170, $723.66, $740.84, $719.2
01/04/2021, $729.77, 48638190, $719.46, $744.4899, $717.1895
12/31/2020, $705.67, 49649930, $699.99, $718.72, $691.12
12/30/2020, $694.78, 42846020, $672, $696.6, $668.3603
12/29/2020, $665.99, 22910810, $661, $669.9, $655
12/28/2020, $663.69, 32278560, $674.51, $681.4, $660.8
