Date, Close/Last, Volume, Open, High, Low
01/28/2021, $42.55, 22174960, $42.827, $44.2, $41.62
01/27/2021, $40.91, 15279990, $40.74, $41.65, $40.312
01/26/2021, $41.25, 13388600, $40.8, $41.39, $40.56
01/25/2021, $40.38, 20281920, $41.54, $41.73, $39.9
01/22/2021, $42.14, 13544970, $41.95, $42.29, $41.61
01/21/2021, $42.59, 32185630, $43.804, $43.98, $41.715
01/20/2021, $45.18, 11661300, $45.04, $45.65, $44.41
01/19/2021, $44.75, 9706312, $44.6, $44.9, $43.77
01/15/2021, $43.89, 13211540, $45.85, $45.98, $43.88
01/14/2021, $46.29, 16310460, $45.32, $46.8, $45.32
01/13/2021, $44.43, 11390180, $44.17, $44.64, $43.44
01/12/2021, $44.08, 9053062, $42.81, $44.17, $42.46
01/11/2021, $42.7, 8988803, $42.67, $43.2599, $42.25
01/08/2021, $43.29, 9215340, $43.58, $44, $43.02
01/07/2021, $43.62, 9592931, $43.8035, $44.8399, $43.61
01/06/2021, $43.54, 12318860, $43.6, $44.28, $42.86
01/05/2021, $43.4, 12294450, $41.58, $43.6, $41.5
01/04/2021, $41.63, 14710220, $43.68, $43.7, $41.43
12/31/2020, $43.25, 12683980, $44.41, $44.5617, $43.11
12/30/2020, $44.65, 9473270, $43.635, $44.76, $43.46
12/29/2020, $43.74, 9927674, $44.45, $44.6489, $43.55
12/28/2020, $43.92, 13693200, $44.035, $44.625, $43.75
